size(kb) num_mutants num_tests
16 102 9 /scratch/alipour/data-mu-issta2015/json/synergyj-ejemplo.sqlite.db
205 2052 14 /scratch/alipour/data-mu-issta2015/json/performance.sqlite.db
2555 1461 113 /scratch/alipour/data-mu-issta2015/json/fongo.sqlite.db
0 1033 1 /scratch/alipour/data-mu-issta2015/json/resources.sqlite.db
4 127 1 /scratch/alipour/data-mu-issta2015/json/spring-integration-pop3-sample.sqlite.db
1501 954 30 /scratch/alipour/data-mu-issta2015/json/yarrgs.sqlite.db
15 8540 2 /scratch/alipour/data-mu-issta2015/json/treemachine.sqlite.db
0 297 0 /scratch/alipour/data-mu-issta2015/json/jhoh.sqlite.db
19 2240 3 /scratch/alipour/data-mu-issta2015/json/github-api.sqlite.db
168 2412 8 /scratch/alipour/data-mu-issta2015/json/Service-Location-Service.sqlite.db
18 3836 3 /scratch/alipour/data-mu-issta2015/json/scala-maven-plugin.sqlite.db
34 2976 9 /scratch/alipour/data-mu-issta2015/json/MagicSigns.sqlite.db
0 1296 0 /scratch/alipour/data-mu-issta2015/json/artifactory-cli.sqlite.db
1157 23281 17 /scratch/alipour/data-mu-issta2015/json/Rythm.sqlite.db
389 1477 32 /scratch/alipour/data-mu-issta2015/json/jmeter-maven-plugin.sqlite.db
109194 11328 1011 /scratch/alipour/data-mu-issta2015/json/xstream.db
105 1581 31 /scratch/alipour/data-mu-issta2015/json/convert.sqlite.db
82 6142 16 /scratch/alipour/data-mu-issta2015/json/bsf.sqlite.db
0 43 0 /scratch/alipour/data-mu-issta2015/json/SpringJPA.sqlite.db
1341 1824 60 /scratch/alipour/data-mu-issta2015/json/exec.sqlite.db
6 73 1 /scratch/alipour/data-mu-issta2015/json/linebreaker.sqlite.db
1186 2030 227 /scratch/alipour/data-mu-issta2015/json/dbutils.sqlite.db
0 1491 0 /scratch/alipour/data-mu-issta2015/json/consumer-dispatcher.sqlite.db
51924 12017 1146 /scratch/alipour/data-mu-issta2015/json/beanutils.sqlite.db
2212 6401 92 /scratch/alipour/data-mu-issta2015/json/git-plugin.sqlite.db
5 170 1 /scratch/alipour/data-mu-issta2015/json/PetStore.sqlite.db
171 529 8 /scratch/alipour/data-mu-issta2015/json/cli-parser.sqlite.db
653 825 17 /scratch/alipour/data-mu-issta2015/json/greplin-bloom-filter.sqlite.db
0 257 0 /scratch/alipour/data-mu-issta2015/json/cMoose.sqlite.db
0 622 0 /scratch/alipour/data-mu-issta2015/json/elasticsearch-river-couchdb.sqlite.db
34760 7213 307 /scratch/alipour/data-mu-issta2015/json/betwixt.sqlite.db
187 2611 23 /scratch/alipour/data-mu-issta2015/json/jalgorithm.sqlite.db
10236 7344 207 /scratch/alipour/data-mu-issta2015/json/mp3agic.sqlite.db
322 3922 4 /scratch/alipour/data-mu-issta2015/json/jandex.sqlite.db
0 18 0 /scratch/alipour/data-mu-issta2015/json/SpringSecurityFunctional.sqlite.db
107434 55098 2198 /scratch/alipour/data-mu-issta2015/json/jfreechart.db
11346 1818 570 /scratch/alipour/data-mu-issta2015/json/jopt-simple.sqlite.db
35 226 9 /scratch/alipour/data-mu-issta2015/json/SystemeDeFichiers.sqlite.db
306 2445 12 /scratch/alipour/data-mu-issta2015/json/cache.sqlite.db
778 2795 6 /scratch/alipour/data-mu-issta2015/json/git-like-cli.sqlite.db
76 656 7 /scratch/alipour/data-mu-issta2015/json/meiyo.sqlite.db
46 310 7 /scratch/alipour/data-mu-issta2015/json/findmyseries.sqlite.db
0 282 0 /scratch/alipour/data-mu-issta2015/json/mylist.sqlite.db
0 168 0 /scratch/alipour/data-mu-issta2015/json/vmrun-java-wrapper.sqlite.db
70 1366 1 /scratch/alipour/data-mu-issta2015/json/khs-report-writer.sqlite.db
144 4989 15 /scratch/alipour/data-mu-issta2015/json/validator2.sqlite.db
0 224 0 /scratch/alipour/data-mu-issta2015/json/greenfield.sqlite.db
14853 19661 1661 /scratch/alipour/data-mu-issta2015/json/com_lang.db
2443 2724 47 /scratch/alipour/data-mu-issta2015/json/aclm.sqlite.db
111 150 17 /scratch/alipour/data-mu-issta2015/json/disruptorWizard.sqlite.db
4496 1831 183 /scratch/alipour/data-mu-issta2015/json/csv.sqlite.db
0 33 0 /scratch/alipour/data-mu-issta2015/json/pontoholambra.sqlite.db
42 508 4 /scratch/alipour/data-mu-issta2015/json/log4mongo-java.sqlite.db
159 488 24 /scratch/alipour/data-mu-issta2015/json/android-rss.sqlite.db
5 437 2 /scratch/alipour/data-mu-issta2015/json/jackson-dataformat-protobuf.sqlite.db
0 41 0 /scratch/alipour/data-mu-issta2015/json/QRGen.sqlite.db
0 503 0 /scratch/alipour/data-mu-issta2015/json/tapestry-caching.sqlite.db
2 63 5 /scratch/alipour/data-mu-issta2015/json/mybatis-mysql.sqlite.db
178 687 31 /scratch/alipour/data-mu-issta2015/json/spring-petclinic.sqlite.db
12252 5967 397 /scratch/alipour/data-mu-issta2015/json/validator.sqlite.db
8664 3415 77 /scratch/alipour/data-mu-issta2015/json/nabla.sqlite.db
155614 21852 740 /scratch/alipour/data-mu-issta2015/json/ognl.sqlite.db
161799 18198 1772 /scratch/alipour/data-mu-issta2015/json/configuration.sqlite.db
192362 28746 3973 /scratch/alipour/data-mu-issta2015/json/joda.db
734553 122484 6087 /scratch/alipour/data-mu-issta2015/json/commons-math1.sqlite.db
